TIME,Aircraft.state.pos_ENU[0],Aircraft.state.pos_ENU[1],Aircraft.state.pos_ENU[2],Aircraft.state.pos_mag,Aircraft.state.vel_ENU[0],Aircraft.state.vel_ENU[1],Aircraft.state.vel_ENU[2],Aircraft.state.vel_mag,Aircraft.state.acc_ENU[0],Aircraft.state.acc_ENU[1],Aircraft.state.acc_ENU[2],Aircraft.state.acc_mag,Aircraft.forces.lift_ENU[0],Aircraft.forces.lift_ENU[1],Aircraft.forces.lift_ENU[2],Aircraft.forces.lift_mag,Aircraft.forces.weight_ENU[0],Aircraft.forces.weight_ENU[1],Aircraft.forces.weight_ENU[2],Aircraft.forces.weight_mag,Aircraft.forces.drag_ENU[0],Aircraft.forces.drag_ENU[1],Aircraft.forces.drag_ENU[2],Aircraft.forces.drag_mag,Aircraft.forces.thrust_ENU[0],Aircraft.forces.thrust_ENU[1],Aircraft.forces.thrust_ENU[2],Aircraft.forces.thrust_mag,Aircraft.forces.net_force_ENU[0],Aircraft.forces.net_force_ENU[1],Aircraft.forces.net_force_ENU[2],Aircraft.forces.net_force_mag,Atmosphere.rho
64.0,16677.5439428,0.0,10196.0656418,19547.3841354,260.230896606,0.0,1.16505248786,260.23350456,0.0180428248,0.0,-0.105629649381,0.10715953693,0.0,0.0,340263.483403,340263.483403,0.0,0.0,-343350.0,343350.0,-136368.501132,-0.0,-610.521131741,524.028864023,137000,0,0,137000,631.498867999,0.0,-3697.03772833,0,0.403254836892
66.0,17198.0779073,0.0,10197.9732282,19994.3127331,260.266982255,0.0,0.953793189098,260.268729919,0.0180737798725,0.0,-0.102509618962,0.10409074646,0.0,0.0,340261.905229,340261.905229,0.0,0.0,-343350.0,343350.0,-136367.417704,-0.0,-499.741892323,523.952045407,137000,0,0,137000,632.582295537,0.0,-3587.83666367,0,0.403141153401
68.0,17718.6841669,0.0,10199.4707761,20444.5829676,260.303129815,0.0,0.748773951174,260.304206754,0.017901215968,0.0,-0.0989837697471,0.100589463695,0.0,0.0,340277.852595,340277.852595,0.0,0.0,-343350.0,343350.0,-136373.457441,-0.0,-392.284536248,523.902488372,137000,0,0,137000,626.542558882,0.0,-3464.43194115,0,0.403048084169
70.0,18239.3620314,0.0,10200.5723889,20897.9904387,260.338932247,0.0,0.55080641168,260.339514924,0.0175432391374,0.0,-0.0951084021791,0.0967128399153,0.0,0.0,340309.761597,340309.761597,0.0,0.0,-343350.0,343350.0,-136385.98663,-0.0,-288.555673371,523.878566502,137000,0,0,137000,614.013369811,0.0,-3328.79407627,0,0.402975020304
72.0,18760.1100689,0.0,10201.2935681,21354.3466362,260.374018725,0.0,0.360589607322,260.374268414,0.0170176738995,0.0,-0.0909374177337,0.0925160265523,0.0,0.0,340356.095565,340356.095565,0.0,0.0,-343350.0,343350.0,-136404.381414,-0.0,-188.905185593,523.878619232,137000,0,0,137000,595.618586484,0.0,-3182.80962068,0,0.402921273716
74.0,19280.926177,0.0,10201.6509977,21813.4774239,260.408054073,0.0,0.178714771854,260.408115398,0.0163419707182,0.0,-0.0865221859454,0.0880519657233,0.0,0.0,340415.352333,340415.352333,0.0,0.0,-343350.0,343350.0,-136428.031025,-0.0,-93.6288415731,523.900965777,137000,0,0,137000,571.968975137,0.0,-3028.27650809,0,0.402886088104
76.0,19801.8076531,0.0,10201.6623385,22275.2216778,260.440738014,0.0,0.00567039996343,260.440738076,0.0155331229023,0.0,-0.0819114346197,0.0833712242237,0.0,0.0,340486.07076,340486.07076,0.0,0.0,-343350.0,343350.0,-136456.340698,-0.0,-2.97097157382,523.943918063,137000,0,0,137000,543.659301582,0.0,-2866.90021169,0,0.402868649474
78.0,20322.7512616,0.0,10201.3460336,22739.4300662,260.47180426,0.0,-0.158152469276,260.471852273,0.0146075928026,0.0,-0.077151162352,0.0785218671438,0.0,0.0,340566.836508,340566.836508,0.0,0.0,-343350.0,343350.0,-136488.734252,-0.0,82.8728100211,524.005792641,137000,0,0,137000,511.265748093,0.0,-2700.29068232,0,0.402868096167
80.0,20843.7533005,0.0,10200.721124,23205.9639554,260.501019446,0.0,-0.31245479398,260.501206831,0.0135812471279,0.0,-0.0722845724539,0.073549369055,0.0,0.0,340656.287118,340656.287118,0.0,0.0,-343350.0,343350.0,-136524.656351,-0.0,163.752846204,524.084921591,137000,0,0,137000,475.343649475,0.0,-2529.96003589,0,0.402883528369
82.0,21364.8096643,0.0,10199.8070761,23674.6944306,260.52818194,0.0,-0.457023938888,260.5285828,0.012469301155,0.0,-0.0673520273616,0.0684965624029,0.0,0.0,340753.116388,340753.116388,0.0,0.0,-343350.0,343350.0,-136563.57446,-0.0,239.562654003,524.179662418,137000,0,0,137000,436.425540424,0.0,-2357.32095766,0,0.402914017083
84.0,21885.9159054,0.0,10198.6236201,24145.5014188,260.553120542,0.0,-0.591727993611,260.553792462,0.0112862715633,0.0,-0.062391022559,0.0634036246737,0.0,0.0,340856.078083,340856.078083,0.0,0.0,-343350.0,343350.0,-136604.980495,-0.0,310.236127119,524.288406951,137000,0,0,137000,395.019504714,0.0,-2183.68578957,0,0.402958612565
86.0,22407.0672916,0.0,10197.1906,24618.2729033,260.575693085,0.0,-0.716510038729,260.576678184,0.01004593758,0.0,-0.0574361790112,0.0583081085379,0.0,0.0,340963.988999,340963.988999,0.0,0.0,-343350.0,343350.0,-136648.392185,-0.0,375.744735118,524.40958927,137000,0,0,137000,351.607815302,0.0,-2010.26626539,0,0.403016352199
88.0,22928.2588615,0.0,10195.5278352,25092.9042213,260.595784961,0.0,-0.831382396752,260.597111143,0.00876131008989,0.0,-0.0525192530565,0.053245023205,0.0,0.0,341075.731413,341075.731413,0.0,0.0,-343350.0,343350.0,-136693.354147,-0.0,436.094729651,524.541692674,137000,0,0,137000,306.645853146,0.0,-1838.17385698,0,0.403086267816
90.0,23449.4854767,0.0,10193.6549934,25569.2974336,260.613307581,0.0,-0.936420902865,260.614989922,0.00744460832491,0.0,-0.0476691626601,0.0482469818935,0.0,0.0,341190.254939,341190.254939,0.0,0.0,-343350.0,343350.0,-136739.438709,-0.0,491.324368051,524.683255732,137000,0,0,137000,260.561291372,0.0,-1668.4206931,0,0.403167392447
92.0,23970.7418703,0.0,10191.591475,26047.3607608,260.628196797,0.0,-1.03175922818,260.630239023,0.00610724372633,0.0,-0.0429120288943,0.0433444419708,0.0,0.0,341306.577824,341306.577824,0.0,0.0,-343350.0,343350.0,-136786.24647,-0.0,541.501164563,524.832877449,137000,0,0,137000,213.753530421,0.0,-1501.9210113,0,0.403258766526
94.0,24492.0226928,0.0,10189.3563084,26527.0080779,260.640411285,0.0,-1.11758328597,260.642807281,0.00475981054353,0.0,-0.038271231468,0.0385660855479,0.0,0.0,341423.787719,341423.787719,0.0,0.0,-343350.0,343350.0,-136833.406631,-0.0,586.719179346,524.989221573,137000,0,0,137000,166.593369023,0.0,-1339.49310138,0,0.403359443528
96.0,25013.3225547,0.0,10186.9680569,27008.1584603,260.649930906,0.0,-1.19412574891,260.652666239,0.0034120827177,0.0,-0.0337674771015,0.0339394286674,0.0,0.0,341541.041946,341541.041946,0.0,0.0,-343350.0,343350.0,-136880.577105,-0.0,627.09635517,525.151020102,137000,0,0,137000,119.42289512,0.0,-1181.86169855,0,0.40346849507
98.0,25534.6360648,0.0,10184.4447355,27490.7357765,260.656755071,0.0,-1.26166070311,260.659808471,0.00207301658365,0.0,-0.0294188795176,0.02949182717,0.0,0.0,341657.567305,341657.567305,0.0,0.0,-343350.0,343350.0,-136927.44442,-0.0,662.771911491,525.317076022,137000,0,0,137000,72.5555804276,0.0,-1029.66078312,0,0.403585015472
100.0,26055.957867,0.0,10181.8037386,27974.6683222,260.660901105,0.0,-1.32049846215,260.664245881,0.0007507589135,0.0,-0.0252410498038,0.0252522124604,0.0,0.0,341772.659452,341772.659452,0.0,0.0,-343350.0,343350.0,-136973.723438,-0.0,693.903805243,525.486265326,137000,0,0,137000,26.2765619725,0.0,-883.436743135,0,0.4037081258
102.0,26577.2826723,0.0,10179.0617774,28459.8884908,260.662402622,0.0,-1.37098056176,260.666008004,-0.000547340178208,0.0,-0.0212471958979,0.0212542446301,0.0,0.0,341885.681876,341885.681876,0.0,0.0,-343350.0,343350.0,-137019.156906,-0.0,720.666267236,525.657538363,137000,0,0,137000,-19.1569062373,0.0,-743.651856427,0,0.403836977399
104.0,27098.6052881,0.0,10176.2348275,28946.3324763,260.661307942,0.0,-1.41347495355,260.665140304,-0.00181470994931,0.0,-0.0174482299501,0.0175423459261,0.0,0.0,341996.064529,341996.064529,0.0,0.0,-343350.0,343350.0,-137063.514848,-0.0,743.247422539,525.82992056,137000,0,0,137000,-63.514848226,0.0,-610.688048253,0,0.40397075494
106.0,27619.9206452,0.0,10173.3380847,29433.9400052,260.657678522,0.0,-1.44837141345,260.661702504,-0.00304553784176,0.0,-0.0138528823319,0.014183710715,0.0,0.0,342103.302116,342103.302116,0.0,0.0,-343350.0,343350.0,-137106.593824,-0.0,761.847002616,526.002512574,137000,0,0,137000,-106.593824462,0.0,-484.850881618,0,0.404108678999
108.0,28141.2238201,0.0,10170.3859304,29922.6540946,260.651587446,0.0,-1.47607717811,260.655766946,-0.00423474485987,0.0,-0.0104678210832,0.011291959186,0.0,0.0,342206.952106,342206.952106,0.0,0.0,-343350.0,343350.0,-137148.21607,-0.0,776.674156269,526.174489915,137000,0,0,137000,-148.216070095,0.0,-366.373737914,0,0.404250008185
110.0,28662.510056,0.0,10167.3919047,30412.4208319,260.643117957,0.0,-1.49701282028,260.647416994,-0.0053779579735,0.0,-0.00729777562121,0.00906531637519,0.0,0.0,342306.632488,342306.632488,0.0,0.0,-343350.0,343350.0,-137188.228529,-0.0,787.945365716,526.345102086,137000,0,0,137000,-188.228529072,0.0,-255.422146742,0,0.404394040844
112.0,29183.7747801,0.0,10164.368688,30903.1891759,260.632362041,0.0,-1.51160837152,260.636745496,-0.00647147999016,0.0,-0.00434566357815,0.00779518089576,0.0,0.0,342402.019301,342402.019301,0.0,0.0,-343350.0,343350.0,-137226.5018,-0.0,795.88247327,526.513671308,137000,0,0,137000,-226.501799656,0.0,-152.098225235,0,0.404540116361
114.0,29705.0136182,0.0,10161.3280886,31394.9107752,260.619419081,0.0,-1.52029969868,260.623853308,-0.00751225732298,0.0,-0.00161271968157,0.00768341557239,0.0,0.0,342492.843988,342492.843988,0.0,0.0,-343350.0,343350.0,-137262.929006,-0.0,800.710823254,526.67959084,137000,0,0,137000,-262.929006304,0.0,-56.4451888549,0,0.404687616083
116.0,30226.2224074,0.0,10158.2810383,31887.5398028,260.604394566,0.0,-1.52352513804,260.608847885,-0.00849784606222,0.0,0.000901374353427,0.00854551715359,0.0,0.0,342578.89058,342578.89058,0.0,0.0,-343350.0,343350.0,-137297.424612,-0.0,802.657522846,526.842322981,137000,0,0,137000,-297.424612178,0.0,31.5481023699,0,0.404835963887
118.0,30747.3972051,0.0,10155.2375935,32381.0328042,260.587398874,0.0,-1.52172238934,260.59184195,-0.00942637673648,0.0,0.00319835988787,0.00995419933246,0.0,0.0,342659.992771,342659.992771,0.0,0.0,-343350.0,343350.0,-137329.923186,-0.0,801.949824668,527.001396764,137000,0,0,137000,-329.923185777,0.0,111.942596075,0,0.404984626423
120.0,31268.5342974,0.0,10152.2069422,32875.3485594,260.568546121,0.0,-1.51532566956,260.57295224,-0.010296518127,0.0,0.0052812722812,0.0115719541326,0.0,0.0,342736.030897,342736.030897,0.0,0.0,-343350.0,343350.0,-137360.378134,-0.0,798.813632983,527.156405405,137000,0,0,137000,-360.378134444,0.0,184.844529842,0,0.40513311305
122.0,31789.6302035,0.0,10149.1974159,33370.4479542,260.547953084,0.0,-1.504763125,260.552298337,-0.0111074404741,0.0,0.00715431350413,0.0132120942928,0.0,0.0,342806.928838,342806.928838,0.0,0.0,-343350.0,343350.0,-137388.760417,-0.0,793.472134464,527.307003529,137000,0,0,137000,-388.760416594,0.0,250.400972644,0,0.405280975498
124.0,32310.6816799,0.0,10146.2165069,33866.2938632,260.525738203,0.0,-1.49045449799,260.530001576,-0.0118587783909,0.0,0.00882272720111,0.0147807692692,0.0,0.0,342872.650898,342872.650898,0.0,0.0,-343350.0,343350.0,-137415.057244,-0.0,786.144553597,527.452904236,137000,0,0,137000,-415.057243681,0.0,308.795452039,0,0.405427807274
126.0,32831.6857212,0.0,10143.2708888,34362.8510404,260.502020647,0.0,-1.47280904359,260.506184048,-0.0125505937718,0.0,0.010292676887,0.0162313462635,0.0,0.0,342933.198659,342933.198659,0.0,0.0,-343350.0,343350.0,-137439.270782,-0.0,777.045031933,527.593876013,137000,0,0,137000,-439.270782013,0.0,360.243691045,0,0.405573242843
